sec,fargo,desert,maine,modernBaseball,nyny,pnw,texas
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
8,0,0,28,0,23,0,0
5,0,0,60,22,137,0,52
39,84,0,131,46,261,0,238
20,221,147,108,16,273,6,279
58,335,311,134,52,194,137,484
50,403,440,160,178,293,264,549
25,307,516,82,163,187,352,603
213,121,531,55,66,117,391,585
97,141,487,0,98,24,375,509
29,81,383,0,22,0,307,264
0,10,231,0,0,0,196,131
0,0,63,0,0,0,63,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
58,0,0,75,0,79,0,0
211,0,0,211,83,238,0,33
430,81,0,322,78,382,0,170
562,216,151,389,201,474,6,337
635,327,258,402,179,507,109,568
639,394,450,359,494,473,198,656
575,407,528,266,382,55,61,676
453,369,544,137,201,120,105,630
286,282,497,0,201,55,208,518
98,153,333,0,46,0,29,354
0,25,239,0,0,0,194,158
0,0,43,0,0,0,31,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
63,0,0,78,0,84,0,0
245,0,0,216,79,249,0,17
419,29,0,327,295,383,0,225
548,219,149,395,412,476,6,298
618,330,314,409,481,510,71,76
625,396,442,365,344,483,251,167
566,408,519,272,355,397,126,409
446,331,531,142,341,263,374,304
281,236,397,17,126,99,245,84
97,68,314,0,24,0,249,151
0,13,196,0,0,0,170,150
0,0,47,0,0,0,21,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
58,0,0,38,0,75,0,0
202,0,0,93,141,230,0,33
359,46,0,241,176,362,0,40
522,215,97,35,294,387,8,22
615,169,307,141,276,486,106,251
623,260,329,234,290,462,193,192
554,92,427,247,165,377,141,689
441,75,426,47,154,212,337,643
284,110,429,7,63,40,246,530
100,76,381,0,24,0,305,365
0,9,234,0,0,0,107,167
0,0,68,0,0,0,38,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
58,0,0,45,0,70,0,0
239,0,0,88,85,221,0,33
412,83,0,161,201,270,0,261
539,34,113,160,292,198,7,450
611,100,253,188,340,434,137,599
618,222,377,125,268,370,68,688
559,25,421,63,162,373,158,713
443,43,443,114,148,145,386,664
275,73,359,7,61,48,233,548
98,63,322,0,39,0,309,378
0,12,226,0,0,0,201,175
0,0,54,0,0,0,72,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
37,0,0,45,0,44,0,0
154,0,0,106,20,218,0,60
274,30,0,117,91,72,0,261
412,13,152,214,120,109,12,455
499,53,318,286,133,104,147,601
550,28,450,220,103,120,225,692
449,98,528,278,12,195,180,709
359,105,546,153,35,249,180,657
218,46,501,12,21,101,171,540
49,98,397,0,10,0,94,373
0,18,250,0,0,0,112,173
0,0,78,0,0,0,75,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9,0,0,85,0,61,0,0
13,0,0,227,62,178,0,35
122,91,0,342,196,378,0,257
20,182,158,413,252,342,10,452
60,232,328,428,357,504,100,606
50,345,464,386,379,334,198,702
31,362,544,292,294,275,354,730
37,401,562,159,358,172,354,688
20,254,516,25,214,44,24,570
15,53,411,0,33,0,315,397
0,21,258,0,0,0,136,188
0,0,83,0,0,0,39,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
24,0,0,83,0,62,0,0
32,0,0,219,145,247,0,37
62,87,0,333,226,386,0,268
161,149,163,401,418,478,10,465
110,266,337,415,341,514,48,617
118,407,473,375,142,355,161,710
384,424,555,285,158,156,157,740
297,184,574,157,57,83,170,691
35,53,483,13,16,30,37,575
78,168,424,0,7,0,122,402
0,35,214,0,0,0,95,194
0,0,63,0,0,0,31,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
66,0,0,27,0,44,0,0
255,0,0,75,49,75,0,65
433,17,0,93,84,93,0,271
568,144,123,133,29,454,14,469
641,335,283,110,39,57,146,622
649,402,417,145,54,59,271,714
590,418,483,73,67,43,360,738
471,381,495,28,26,44,402,689
303,255,446,24,13,30,331,572
114,114,336,0,25,0,287,400
0,21,198,0,0,0,216,192
0,0,49,0,0,0,82,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
62,0,0,49,0,86,0,0
251,0,0,174,84,248,0,35
434,90,0,112,151,388,0,215
568,226,156,408,327,489,14,436
615,219,260,423,420,527,153,584
592,38,375,389,448,503,197,675
573,113,460,290,259,419,306,697
473,181,483,167,314,286,316,651
298,308,357,31,187,123,398,539
115,153,309,0,24,0,333,375
0,13,164,0,0,0,224,179
0,0,33,0,0,0,88,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
42,0,0,42,0,28,0,0
116,0,0,172,144,124,0,56
222,64,0,249,299,305,0,44
343,253,156,137,424,289,11,117
412,374,326,252,79,375,114,360
496,447,457,259,115,332,236,677
544,465,539,143,386,323,90,573
296,425,558,49,287,271,101,656
146,332,514,19,143,113,200,547
47,198,370,0,22,0,269,384
0,51,263,0,0,0,39,186
0,0,92,0,0,0,39,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
